id,title,release_date,overview,tagline,runtime,genres,origin_country,rating,revenue,budget,popularity,vote_average,vote_count
872497,Resurrection,2022-07-29,"A woman's carefully constructed life is upended when an unwelcome shadow from her past returns, forcing her to confront the monster she's evaded for two decades.",Maintain control.,104,"Drama, Horror, Mystery","US, US, US, US",6.0,159780,0,4.6975,6.0,222
1243544,Mini World: Powers Awaken,2022-07-30,"Kaká is the son of a legendary hero. His body is possessed by an evil force that grows every day, threatening to destroy the world. Determined to prevent this catastrophe, a group of young heroes joins him on an epic journey.",,99,"Animation, Adventure, Action, Fantasy",,0.0,18797,0,0.1285,0.0,0
727340,Hunt,2022-08-10,"After a high-ranking North Korean official requests asylum, KCIA Foreign Unit chief Park Pyong-ho and Domestic Unit chief Kim Jung-do are tasked with uncovering a North Korean spy, known as Donglim, who is deeply embedded within their agency. When the spy begins leaking top secret intel that could jeopardize national security, the two units are each assigned to investigate each other.","Two rivals, a hidden truth.",131,"Action, Mystery, Drama","KR, KR",6.717,25994,17000000,3.5191,6.717,191
913824,Free Chol Soo Lee,2022-08-12,"On June 3, 1973, a man was murdered in a busy intersection of San Francisco’s Chinatown as part of an ongoing gang war. Chol Soo Lee, a 20-year-old Korean immigrant who had previous run-ins with the law, was arrested and convicted based on flimsy evidence and the eyewitness accounts of white tourists who couldn’t distinguish between Asian features. Sentenced to life in prison, Chol Soo Lee would spend years fighting to survive behind bars before journalist K.W. Lee took an interest in his case. The intrepid reporter’s investigation would galvanize a first-of-its-kind pan-Asian American grassroots movement to fight for Chol Soo Lee’s freedom, ultimately inspiring a new generation of social justice activists.",,83,"Documentary, Crime","US, US, US",7.3,50083,0,0.2815,7.3,12
982752,American Carnage,2022-07-15,"After a governor issues an executive order to arrest the children of undocumented immigrants, the detained youth are offered an opportunity to have their charges dropped by volunteering to provide care to the elderly. Once inside the elder care facility, however, they discover more twisted secrets than they could have possibly imagined.",No one escapes the daily grind.,101,"Mystery, Thriller, Comedy, Horror","US, US",5.934,116699,0,13.6284,5.934,182
691214,Pacifiction,2022-09-02,"Island of Tahiti. French government official De Roller is a calculating man with impeccable manners, capable of dealing with both high society and the locals he frequents in shady joints.",,166,"Drama, Thriller","ES, FR, PT, FR, DE, DE, DE, PF",6.329,416721,0,1.412,6.329,143
1099217,In Broad Daylight,2023-11-02,"Kay is a tough-as-nails investigative reporter, and goes undercover at a home for the disabled based on a tip about staff abuse of the residents. She not only corroborates the frightening allegations but also discovers how disastrously flawed Hong Kong’s health care system is, especially for those who cannot care for themselves. However, after her story breaks, further unspeakable truths are revealed leading Kay on a dire crusade for justice.",,106,"Drama, Mystery",HK,7.219,2000000,650000,3.6276,7.219,32
970948,What Happens Later,2023-11-02,"Two ex-lovers get snowed in at a regional airport overnight. Indefinitely delayed, Willa, a magical thinker, and Bill, a catastrophic one, find themselves just as attracted to and annoyed by one another as they did decades earlier. But as they unpack the riddle of their mutual past and compare their lives to the dreams they once shared, they begin to wonder if their reunion is mere coincidence, or something more enchanted.",They missed their connection.,104,"Romance, Comedy","US, US, US, ",4.9,3370345,3000000,1.6137,4.9,63
792614,Mr. Blake at Your Service!,2023-11-01,"Since his wife's death, Andrew Blake is depressed. In an ultimate impetus, he leaves London to go back to France, in the house he met her. This journey through happy days memories won't go as planned.","A tale of second chances, served with elegance",100,"Comedy, Drama, Romance","FR, LU, LU, FR",6.339,2726128,6700000,1.5607,6.339,87
1154359,Christmas on Cobbler Street,2023-11-10,"It's just before Christmas, and Stine (9) arrives in Cobbler street all by herself. There she seeks shelter at Shoemaker Andersen's place, a grumpy old man who just wants to be left alone. Their meeting changes everything for the both of them.",,95,Family,NO,6.7,3200000,3300000,0.3024,6.7,6
